Crop,N,P,K,pH
Grapes,20,125,200,3.86
Jackfruit,75,40,50,4.86
Guava,50,50,50,4.86
Water Melon,100,10,50,5.36
Musk Melon,100,10,50,5.36
Apricot,40,50,25,6.36
Apple,20,125,200,6.36
Chickoo,40,30,60,4.86
Custard apple,40,20,40,6.36
Dates,40,125,20,6.36
Figs,20,60,20,4.86
Orange,20,10,10,3.86
Papaya,50,50,50,5.86
Aniseed,100,50,20,4.86
Asafoetida,90,40,20,4.86
Bay Leaf,100,50,25,4.86
Black Pepper,100,60,50,4.86
Cardamom,75,75,150,4.86
Cinnamon,20,20,25,4.86
Cloves,20,20,60,4.86
Jaiphal(Nutmeg),20,20,60,4.86
Ginger,40,50,20,4.86
Turmeric,25,60,100,4.86
Cashewnuts,70,40,60,5.86
Raisins,60,30,30,5.86
Coconut,20,10,30,4.86
Almond Nut,70,20,10,5.86
Arecanut,100,40,140,5.86
Pistachio Nut,90,20,20,5.86
Lemon Grass,25,40,40,5.36
Cotton,120,40,20,5.36
Jute,80,40,40,5.36
Coffee,100,20,30,5.36
Sunflower,50,60,30,5.36
Rice,80,40,40,5.34
Jowar(Sorghum),80,40,40,5.34
Barley(JAV),70,40,45,5.34
Maize,80,40,20,5.34
Ragi( naachnnii),50,40,20,5.34
Chickpeas(Channa),40,60,80,5.34
French Beans(Farasbi),90,125,60,4.84
Fava beans (Papdi - Val),90,125,60,4.84
Lima beans(Pavta),40,60,20,4.84
Cluster Beans(Gavar),25,50,25,4.84
Soyabean,20,60,20,5.34
Black eyed beans( chawli),20,60,20,5.34
Kidney beans,20,60,20,5.34
pigeon peas(Toor Dal),20,60,20,5.34
Moth bean(Matki),20,40,20,5.34
Mung beans,20,40,20,5.34
Green Peas,40,35,55,5.84
Horse Gram(kulthi),20,60,20,5.84
Black Gram,40,60,20,4.84
Rapeseed (Mohri),50,40,20,4.84
Coriander seeds,90,20,20,6.34
Mustard seeds,100,30,15,6.34
sesame seed,30,15,30,6.34
Cumin seeds,90,60,20,6.34
Lentils(Masoor Dal),20,60,20,5.34
Brinjal,80,15,40,6.34
Beetroot,120,50,100,5.34
Bitter Gourd,60,10,20,6.34
Bottle Gourd,100,50,50,6.34
Capsicum,100,20,60,6.34
Cabbage,100,65,70,6.34
Carrot,40,45,60,5.34
Cauliflower,80,70,50,6.34
Cucumber,60,60,85,6.34
Coriander leaves,10,20,20,6.34
Curry leaves,20,20,20,6.34
Drumstick – moringa,40,20,10,6.34
Chili,120,20,80,6.34
Lady Finger,80,10,40,6.34
Mushroom,100,50,60,6.34
Onion,120,60,65,5.84
Potato,180,60,90,4.84
Pumpkin,80,50,30,5.34
Radish,25,100,50,5.84
Olive,100,60,30,6.34
Sweet Potato,90,20,120,4.84
Fenugreek Leaf(methi),30,25,40,5.84
Spinach,60,60,50,5.84
Ridgegourd,90,50,20,6.34
Gooseberry(Amla),20,50,20,4.34
Jambun(Syzygium cumini),10,10,10,4.04
Ziziphus mauritiana(Bor),20,10,10,5.84
Garcinia indica(kokam),40,25,50,4.04
Tamarind,20,15,25,2.94
Tapioca(Suran),50,50,50,5.34
Garlic,50,10,60,5.34
Lemon,20,10,10,2.94
Tomato,100,40,90,5.84
Ash Gourd,60,10,30,5.34
Pineapple,160,40,120,6.34
Pomegranate,20,10,40,5.34
Banana,100,75,50,6.34
Mango,20,20,30,4.84
Grapes,20,125,200,3.84
Jackfruit,75,40,50,4.84
Guava,50,50,50,4.84
Water Melon,100,10,50,5.34
Musk Melon,100,10,50,5.34
Apricot,40,50,25,6.34
Apple,20,125,200,6.34
Chickoo,40,30,60,4.84
Custard apple,40,20,40,6.34
Dates,40,125,20,6.34
Figs,20,60,20,4.84
Orange,20,10,10,3.84
Papaya,50,50,50,5.84
Aniseed,100,50,20,4.84
Asafoetida,90,40,20,4.84
Bay Leaf,100,50,25,4.84
Black Pepper,100,60,50,4.84
Cardamom,75,75,150,4.84
Cinnamon,20,20,25,4.84
Cloves,20,20,60,4.84
Jaiphal(Nutmeg),20,20,60,4.84
Ginger,40,50,20,4.84
Turmeric,25,60,100,4.84
Cashewnuts,70,40,60,5.84
Raisins,60,30,30,5.84
Coconut,20,10,30,4.84
Almond Nut,70,20,10,5.84
Arecanut,100,40,140,5.84
Pistachio Nut,90,20,20,5.84
Lemon Grass,25,40,40,5.34
Cotton,120,40,20,5.34
Jute,80,40,40,5.34
Coffee,100,20,30,5.34
Sunflower,50,60,30,5.34
Rice,80,40,40,5.32
Jowar(Sorghum),80,40,40,5.32
Barley(JAV),70,40,45,5.32
Maize,80,40,20,5.32
Ragi( naachnnii),50,40,20,5.32
Chickpeas(Channa),40,60,80,5.32
French Beans(Farasbi),90,125,60,4.82
Fava beans (Papdi - Val),90,125,60,4.82
Lima beans(Pavta),40,60,20,4.82
Cluster Beans(Gavar),25,50,25,4.82
Soyabean,20,60,20,5.32
Black eyed beans( chawli),20,60,20,5.32
Kidney beans,20,60,20,5.32
pigeon peas(Toor Dal),20,60,20,5.32
Moth bean(Matki),20,40,20,5.32
Mung beans,20,40,20,5.32
Green Peas,40,35,55,5.82
Horse Gram(kulthi),20,60,20,5.82
Black Gram,40,60,20,4.82
Rapeseed (Mohri),50,40,20,4.82
Coriander seeds,90,20,20,6.32
Mustard seeds,100,30,15,6.32
sesame seed,30,15,30,6.32
Cumin seeds,90,60,20,6.32
Lentils(Masoor Dal),20,60,20,5.32
Brinjal,80,15,40,6.32
Beetroot,120,50,100,5.32
Bitter Gourd,60,10,20,6.32
Bottle Gourd,100,50,50,6.32
Capsicum,100,20,60,6.32
Cabbage,100,65,70,6.32
Carrot,40,45,60,5.32
Cauliflower,80,70,50,6.32
Cucumber,60,60,85,6.32
Coriander leaves,10,20,20,6.32
Curry leaves,20,20,20,6.32
Drumstick – moringa,40,20,10,6.32
Chili,120,20,80,6.32
Lady Finger,80,10,40,6.32
Mushroom,100,50,60,6.32
Onion,120,60,65,5.82
Potato,180,60,90,4.82
Pumpkin,80,50,30,5.32
Radish,25,100,50,5.82
Olive,100,60,30,6.32
Sweet Potato,90,20,120,4.82
Fenugreek Leaf(methi),30,25,40,5.82
Spinach,60,60,50,5.82
Ridgegourd,90,50,20,6.32
Gooseberry(Amla),20,50,20,4.32
Jambun(Syzygium cumini),10,10,10,4.02
Ziziphus mauritiana(Bor),20,10,10,5.82
Garcinia indica(kokam),40,25,50,4.02
Tamarind,20,15,25,2.92
Tapioca(Suran),50,50,50,5.32
Garlic,50,10,60,5.32
Lemon,20,10,10,2.92
Tomato,100,40,90,5.82
Ash Gourd,60,10,30,5.32
Pineapple,160,40,120,6.32
Pomegranate,20,10,40,5.32
Banana,100,75,50,6.32
Mango,20,20,30,4.82
Grapes,20,125,200,3.82
Jackfruit,75,40,50,4.82
Guava,50,50,50,4.82
Water Melon,100,10,50,5.32
Musk Melon,100,10,50,5.32
Apricot,40,50,25,6.32
Apple,20,125,200,6.32
Chickoo,40,30,60,4.82
Custard apple,40,20,40,6.32
Dates,40,125,20,6.32
Figs,20,60,20,4.82
Orange,20,10,10,3.82
Papaya,50,50,50,5.82
Aniseed,100,50,20,4.82
Asafoetida,90,40,20,4.82
Bay Leaf,100,50,25,4.82
Black Pepper,100,60,50,4.82
Cardamom,75,75,150,4.82
Cinnamon,20,20,25,4.82
Cloves,20,20,60,4.82
Jaiphal(Nutmeg),20,20,60,4.82
Ginger,40,50,20,4.82
Turmeric,25,60,100,4.82
Cashewnuts,70,40,60,5.82
Raisins,60,30,30,5.82
Coconut,20,10,30,4.82
Almond Nut,70,20,10,5.82
Arecanut,100,40,140,5.82
Pistachio Nut,90,20,20,5.82
Lemon Grass,25,40,40,5.32
Cotton,120,40,20,5.32
Jute,80,40,40,5.32
Coffee,100,20,30,5.32
Sunflower,50,60,30,5.32
